,behavior,brainarea,cluster,date,depth,ephys,info,isiViolations,nSpikes,sessiontype,subject,tetrode,clusterQuality
195,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,5,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,0.0682826903,2930,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,7,1
196,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,6,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,0.6619776583,2418,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,7,1
197,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,2,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,0.0,2018,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,8,1
200,"[None, 'band023_am_tuning_curve_20170320o.h5', 'band023_am_tuning_curve_20170320p.h5', 'band023_bandwidth_am_20170320q.h5', 'band023_bandwidth_am_20170320r.h5', 'band023_am_tuning_curve_20170320s.h5', 'band023_bandwidth_am_20170320t.h5']",right_thalamus,5,2017-03-20,3605,"['2017-03-20_13-17-02', '2017-03-20_13-20-28', '2017-03-20_13-31-05', '2017-03-20_13-39-03', '2017-03-20_14-01-34', '2017-03-20_14-26-10', '2017-03-20_14-31-29']",anteriorDiI,0.2721088435,736,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps', 'bandwidth']",band023,8,1
202,"[None, 'band023_am_tuning_curve_20170322a.h5', 'band023_am_tuning_curve_20170322b.h5']",right_thalamus,2,2017-03-22,3300,"['2017-03-22_09-20-44', '2017-03-22_09-23-13', '2017-03-22_09-34-22']",middleDiD,0.3003003003,1000,"['noisebursts', 'tuningCurve', 'AM']",band023,4,1
204,"[None, 'band023_am_tuning_curve_20170322a.h5', 'band023_am_tuning_curve_20170322b.h5']",right_thalamus,4,2017-03-22,3300,"['2017-03-22_09-20-44', '2017-03-22_09-23-13', '2017-03-22_09-34-22']",middleDiD,0.0,653,"['noisebursts', 'tuningCurve', 'AM']",band023,4,1
225,"[None, 'band023_am_tuning_curve_20170322g.h5', 'band023_am_tuning_curve_20170322h.h5', 'band023_bandwidth_am_20170322i.h5', 'band023_bandwidth_am_20170322j.h5', 'band023_am_tuning_curve_20170322k.h5']",right_thalamus,3,2017-03-22,3460,"['2017-03-22_10-32-31', '2017-03-22_10-35-03', '2017-03-22_10-46-43', '2017-03-22_10-53-47', '2017-03-22_11-13-33', '2017-03-22_11-32-01']",middleDiD,0.0,1919,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,6,1
226,"[None, 'band023_am_tuning_curve_20170322g.h5', 'band023_am_tuning_curve_20170322h.h5', 'band023_bandwidth_am_20170322i.h5', 'band023_bandwidth_am_20170322j.h5', 'band023_am_tuning_curve_20170322k.h5']",right_thalamus,4,2017-03-22,3460,"['2017-03-22_10-32-31', '2017-03-22_10-35-03', '2017-03-22_10-46-43', '2017-03-22_10-53-47', '2017-03-22_11-13-33', '2017-03-22_11-32-01']",middleDiD,0.1668056714,1200,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,6,1
228,"[None, 'band023_am_tuning_curve_20170322l.h5', 'band023_am_tuning_curve_20170322m.h5', 'band023_bandwidth_am_20170322n.h5', 'band023_bandwidth_am_20170322o.h5', 'band023_bandwidth_am_20170322p.h5', 'band023_am_tuning_curve_20170322q.h5']",right_thalamus,3,2017-03-22,3540,"['2017-03-22_12-18-22', '2017-03-22_12-21-32', '2017-03-22_12-33-05', '2017-03-22_12-39-51', '2017-03-22_12-59-40', '2017-03-22_13-20-06', '2017-03-22_13-40-07']",middleDiD,1.8695352048,34769,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,2,1
230,"[None, 'band023_am_tuning_curve_20170322l.h5', 'band023_am_tuning_curve_20170322m.h5', 'band023_bandwidth_am_20170322n.h5', 'band023_bandwidth_am_20170322o.h5', 'band023_bandwidth_am_20170322p.h5', 'band023_am_tuning_curve_20170322q.h5']",right_thalamus,3,2017-03-22,3540,"['2017-03-22_12-18-22', '2017-03-22_12-21-32', '2017-03-22_12-33-05', '2017-03-22_12-39-51', '2017-03-22_12-59-40', '2017-03-22_13-20-06', '2017-03-22_13-40-07']",middleDiD,1.8723939895,63556,"['noisebursts', 'tuningCurve', 'AM', 'bandwidth', 'bandwidth', 'bandwidth', 'noiseAmps']",band023,4,1
