,behavFiles,cluster,sessionList,sessionNames,subject,tetrode
29,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",7.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
30,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",8.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
31,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",9.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
32,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",10.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
33,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",11.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
34,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",12.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,3.0
35,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",1.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
36,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",2.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
37,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",3.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
38,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",4.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
39,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",5.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
40,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",6.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
41,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",7.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
42,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",8.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
43,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",9.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
44,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",10.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
45,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",11.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
46,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",12.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,4.0
47,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",1.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
48,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",2.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
49,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",3.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
50,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",4.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
51,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",5.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
52,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",6.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
53,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",7.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
54,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",8.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,5.0
55,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",1.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,6.0
56,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",2.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,6.0
57,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",3.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,6.0
58,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",4.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,6.0
59,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",1.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,7.0
60,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",2.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,7.0
61,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",3.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,7.0
62,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",4.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,7.0
63,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",5.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,7.0
64,"[None, 'band001/band001_am_tuning_curve_20160713a.h5', 'band001/band001_am_tuning_curve_20160713b.h5', 'band001/band001_am_bandwidth_20160713c.h5']",1.0,"['band001/2016-07-13_15-35-17', 'band001/2016-07-13_15-40-36', 'band001/2016-07-13_16-02-16', 'band001/2016-07-13_16-50-01']","['noisebursts', 'tuningCurve', 'AM', 'bandwidth']",band001,8.0
